pid,age,gender,country,login_count_24h,repeat_login_count_24h,active_days_24h,avg_login_gap_minutes,jobs_started_24h,unique_jobs_started_24h,career_jobs_started_24h,special_jobs_started_24h,freeplay_jobs_started_24h,challenge_jobs_started_24h,jobs_completed_24h,career_jobs_completed_24h,special_jobs_completed_24h,freeplay_jobs_completed_24h,challenge_jobs_completed_24h,tasks_completed_24h,subtasks_completed_24h,jobs_exited_24h,avg_session_length_exit,max_session_length_exit,avg_session_length,max_session_length,distinct_jobs_played,interruption_count,avg_interruption_session,longest_interrupted_session,career_play_ratio,special_play_ratio,freeplay_ratio,challenge_ratio,retained
p10840,29,Male,USA,1,0,1,0,13,13,13,0,0,0,14,14,0,0,0,14,948,14,274.9285714285714286,953,222.7692307692307692,413,13,14,274.9285714285714286,953,1,0,0,0,1
p10841,19,Transgender,USA,1,0,1,0,3,3,2,0,1,0,2,2,0,0,0,2,63,4,87.7500000000000000,163,62.6666666666666667,139,3,4,87.7500000000000000,163,0.6666666666666666,0,0.3333333333333333,0,1
p10842,29,Male,Austria,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,30,1,8.0000000000000000,8,1.00000000000000000000,1,1,1,8.0000000000000000,8,1,0,0,0,0
p10843,,"Female,Transgender",USA,2,1,1,197.2500000000000000,2,2,2,0,0,0,2,2,0,0,0,6,129,5,45.6000000000000000,70,41.5000000000000000,65,2,5,45.6000000000000000,70,1,0,0,0,1
p10844,24,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10845,26,Male,France,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,40,2,6.5000000000000000,7,3.0000000000000000,6,2,2,6.5000000000000000,7,1,0,0,0,0
p10846,22,Transgender,Australia,1,0,1,0,3,3,3,0,0,0,3,3,0,0,0,3,170,3,45.6666666666666667,66,24.0000000000000000,62,3,3,45.6666666666666667,66,1,0,0,0,0
p10847,18,Female,France,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,140,2,25.5000000000000000,44,4.0000000000000000,7,2,2,25.5000000000000000,44,1,0,0,0,0
p10848,36,Male,USA,1,0,1,0,8,8,8,0,0,0,9,8,1,0,0,9,642,8,205.7500000000000000,311,166.8750000000000000,305,8,8,205.7500000000000000,311,1,0,0,0,1
p10849,19,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p1085,20,Transgender,USA,2,1,1,247.6500000000000000,6,6,6,0,0,0,6,6,0,0,0,14,473,6,72.3333333333333333,121,36.0000000000000000,117,6,6,72.3333333333333333,121,1,0,0,0,1
p10850,44,Female,Romania,2,1,1,415.9500000000000000,4,4,4,0,0,0,4,4,0,0,0,4,223,4,38.0000000000000000,51,14.0000000000000000,48,4,4,38.0000000000000000,51,1,0,0,0,1
p10851,21,Female,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10853,42,Male,USA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,23.0000000000000000,23,0,0,0,1,23.0000000000000000,23,0,0,0,0,0
p10854,34,Male,UK,1,0,1,0,4,4,4,0,0,0,3,3,0,0,0,3,171,4,42.7500000000000000,59,28.2500000000000000,55,4,4,42.7500000000000000,59,1,0,0,0,0
p10855,24,Male,UK,3,2,2,685.8833333333333333,4,4,4,0,0,0,3,3,0,0,0,11,282,5,35.2000000000000000,114,5.5000000000000000,8,4,5,35.2000000000000000,114,1,0,0,0,1
p10856,22,Non-binary,USA,1,0,1,0,4,4,4,0,0,0,3,3,0,0,0,11,250,4,143.0000000000000000,199,93.2500000000000000,171,4,4,143.0000000000000000,199,1,0,0,0,1
p10857,20,Other,USA,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,83,2,50.0000000000000000,71,28.0000000000000000,29,2,2,50.0000000000000000,71,1,0,0,0,1
p10858,18,Male,,1,0,1,0,3,3,3,0,0,0,3,3,0,0,0,3,170,3,44.6666666666666667,64,23.6666666666666667,62,3,3,44.6666666666666667,64,1,0,0,0,0
p10859,33,Female,France,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,30,1,6.0000000000000000,6,1.00000000000000000000,1,1,1,6.0000000000000000,6,1,0,0,0,0
p1086,58,Female,USA,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,83,2,35.5000000000000000,67,2.0000000000000000,4,2,2,35.5000000000000000,67,1,0,0,0,1
p10860,20,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10861,29,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10862,27,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10863,21,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10864,52,Male,USA,1,0,1,0,6,6,6,0,0,0,6,6,0,0,0,14,426,9,129.0000000000000000,263,109.6666666666666667,241,6,9,129.0000000000000000,263,1,0,0,0,1
p10865,41,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10867,34,Non-binary,USA,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,86,1,38.0000000000000000,38,0.00000000000000000000,0,1,1,38.0000000000000000,38,0,1,0,0,1
p10868,18,Male,Denmark,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,140,2,34.5000000000000000,60,5.5000000000000000,9,2,2,34.5000000000000000,60,1,0,0,0,1
